Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Fiat,Panda,1.2 Lounge,Small,2020,33500,69,Manual,Petrol,5.4,5,8030,Barcelona,8700
Ford,Fiesta,1.5 TDCi Trend,Small,2015,78400,75,Manual,Diesel,3.7,5,8201,Barcelona,8900
Volkswagen,Polo,1.2 TSI BMT Advance 66kW,Small,2015,48100,90,Manual,Petrol,4.7,5,8760,Barcelona,8990
SEAT,Leon,2.0TDI CR FR,Small,2011,130708,140,Manual,Diesel,4.8,5,8310,Barcelona,9500
Opel,Astra,GTC 1.4 T S/S Sport,Small,2012,108000,140,Manual,Petrol,5.9,5,8820,Barcelona,9990
Mazda,5,2 1.3 Sakura,Small,2014,8900,75,Manual,Petrol,5.1,5,8026,Barcelona,10000
Fiat,500,0.9 T TwinAir Lounge,Small,2016,49193,105,Manual,Petrol,4.2,5,8903,Barcelona,10208
Peugeot,208,1.2 PureTech S&S Allure 82,Small,2018,62300,82,Manual,Petrol,4.8,5,8201,Barcelona,10500
Volvo,C30,T5 Summum,Small,2007,149000,230,Manual,Petrol,8.7,5,8015,Barcelona,10900
Kia,Rio,1.2 CVVT Concept,Small,2018,16400,84,Manual,Petrol,5.0,5,8201,Barcelona,10900
BMW,114,i Sport,Small,2013,131000,102,Manual,Petrol,5.5,5,8242,Barcelona,11000
Hyundai,i30,1.0 TGDI Klass 120,Small,2018,44100,120,Manual,Petrol,5.0,5,8201,Barcelona,11900
smart,forTwo,0.9 66kW (90CV) S/S PASSION COUPE,Small,2017,22192,90,Automatic,Petrol,4.0,5,8038,Barcelona,11900
Audi,A3,1.6TDI Attraction,Small,2013,169000,105,Manual,Diesel,3.8,5,8225,Barcelona,11900
Nissan,Micra,IG-T Acenta 92,Small,2019,24992,92,Manual,Petrol,4.5,5,8038,Barcelona,12900
Ford,Fiesta,1.0 EcoBoost S/S ST Line 140,Small,2019,45000,140,Manual,Petrol,4.5,5,8908,Barcelona,13900
