Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2018,60500,90,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,12700
2012,60000,163,6.8,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18253.76070528967,24531.630136986303,15207.210251954823,22252.94124847001,20450
2016,132000,110,3.7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11099.399408284024,13156.283333333333,15207.210251954823,22252.94124847001,11850
2019,15000,102,4.0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10412.196983141082,15319.705882352979,15207.210251954823,22252.94124847001,15950
2014,65787,510,12.8,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,32193.466814159292,40891.60810810811,15207.210251954823,22252.94124847001,54500
2008,152000,150,6.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15693.285714285714,15460.685950413223,15207.210251954823,22252.94124847001,8200
2020,6342,150,4.5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16542.651072961373,22341.215384615385,15207.210251954823,22252.94124847001,25663
2017,41500,608,13.1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,153840.97260273973,183783.48406609028,15207.210251954823,22252.94124847001,163900
2016,79000,190,4.3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18253.76070528967,17274.956523466124,15207.210251954823,22252.94124847001,22990
2007,350000,224,9.4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29082.68607594937,15092.891891891892,15207.210251954823,22252.94124847001,12900
2017,50972,116,3.7,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25546.556756756756,16731.591240875914,22586.322194374825,22252.94124847001,16308
2014,47633,99,5.2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14041.39201183432,10300.54,22586.322194374825,22252.94124847001,9950
2017,97000,150,4.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,26202.40666450987,15653.143884892086,22586.322194374825,22252.94124847001,15990
2013,130000,109,4.1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,29082.68607594937,22622.5081300813,22586.322194374825,22252.94124847001,14240
2021,10,101,5.987094625390036,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9915.299401197604,8330.035294117648,22586.322194374825,22252.94124847001,16900
2016,75989,101,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9915.299401197604,10945.792207792209,22586.322194374825,22252.94124847001,10187
